Building models/googlenet.lua model 
	
Operations estimation for image size: 256 x 256	

-----------------------------------------------------------------------------------------------	
S.No. Module Name                       Input Resolution     Neurons             Ops     % Ops	
===============================================================================================	
    1 nn.Sequential                    1 x 3 x 256 x 256      196608               0    0.0000	
    2 nn.SpatialConvolution            1 x 3 x 256 x 256      196608       309329920    7.4266	
    3 nn.ReLU                         1 x 64 x 128 x 128     1048576         1048576    0.0252	
    4 nn.SpatialMaxPooling            1 x 64 x 128 x 128     1048576         2359296    0.0566	
    5 nn.SpatialConvolution             1 x 64 x 64 x 64      262144        33816576    0.8119	
    6 nn.ReLU                           1 x 64 x 64 x 64      262144          262144    0.0063	
    7 nn.SpatialConvolution             1 x 64 x 64 x 64      262144       906756096   21.7701	
    8 nn.ReLU                          1 x 192 x 64 x 64      786432          786432    0.0189	
    9 nn.SpatialMaxPooling             1 x 192 x 64 x 64      786432         1769472    0.0425	
   10 nn.Concat                        1 x 192 x 32 x 32      196608               0    0.0000	
   11 nn.Sequential                    1 x 192 x 32 x 32      196608               0    0.0000	
   12 nn.SpatialConvolution            1 x 192 x 32 x 32      196608        25231360    0.6058	
   13 nn.ReLU                           1 x 64 x 32 x 32       65536           65536    0.0016	
   14 nn.Sequential                    1 x 192 x 32 x 32      196608               0    0.0000	
   15 nn.SpatialConvolution            1 x 192 x 32 x 32      196608        37847040    0.9087	
   16 nn.ReLU                           1 x 96 x 32 x 32       98304           98304    0.0024	
   17 nn.SpatialConvolution             1 x 96 x 32 x 32       98304       226623488    5.4410	
   18 nn.ReLU                          1 x 128 x 32 x 32      131072          131072    0.0031	
   19 nn.Sequential                    1 x 192 x 32 x 32      196608               0    0.0000	
   20 nn.SpatialConvolution            1 x 192 x 32 x 32      196608         6307840    0.1514	
   21 nn.ReLU                           1 x 16 x 32 x 32       16384           16384    0.0004	
   22 nn.SpatialConvolution             1 x 16 x 32 x 32       16384        26247168    0.6302	
   23 nn.ReLU                           1 x 32 x 32 x 32       32768           32768    0.0008	
   24 nn.Sequential                    1 x 192 x 32 x 32      196608               0    0.0000	
   25 nn.SpatialMaxPooling             1 x 192 x 32 x 32      196608         1769472    0.0425	
   26 nn.SpatialConvolution            1 x 192 x 32 x 32      196608        12615680    0.3029	
   27 nn.ReLU                           1 x 32 x 32 x 32       32768           32768    0.0008	
   28 nn.Concat                        1 x 256 x 32 x 32      262144               0    0.0000	
   29 nn.Sequential                    1 x 256 x 32 x 32      262144               0    0.0000	
   30 nn.SpatialConvolution            1 x 256 x 32 x 32      262144        67239936    1.6143	
   31 nn.ReLU                          1 x 128 x 32 x 32      131072          131072    0.0031	
   32 nn.Sequential                    1 x 256 x 32 x 32      262144               0    0.0000	
   33 nn.SpatialConvolution            1 x 256 x 32 x 32      262144        67239936    1.6143	
   34 nn.ReLU                          1 x 128 x 32 x 32      131072          131072    0.0031	
   35 nn.SpatialConvolution            1 x 128 x 32 x 32      131072       453181440   10.8803	
   36 nn.ReLU                          1 x 192 x 32 x 32      196608          196608    0.0047	
   37 nn.Sequential                    1 x 256 x 32 x 32      262144               0    0.0000	
   38 nn.SpatialConvolution            1 x 256 x 32 x 32      262144        16809984    0.4036	
   39 nn.ReLU                           1 x 32 x 32 x 32       32768           32768    0.0008	
   40 nn.SpatialConvolution             1 x 32 x 32 x 32       32768       157384704    3.7786	
   41 nn.ReLU                           1 x 96 x 32 x 32       98304           98304    0.0024	
   42 nn.Sequential                    1 x 256 x 32 x 32      262144               0    0.0000	
   43 nn.SpatialMaxPooling             1 x 256 x 32 x 32      262144         2359296    0.0566	
   44 nn.SpatialConvolution            1 x 256 x 32 x 32      262144        33619968    0.8072	
   45 nn.ReLU                           1 x 64 x 32 x 32       65536           65536    0.0016	
   46 nn.SpatialMaxPooling             1 x 480 x 32 x 32      491520         1105920    0.0266	
   47 nn.Concat                        1 x 480 x 16 x 16      122880               0    0.0000	
   48 nn.Sequential                    1 x 480 x 16 x 16      122880               0    0.0000	
   49 nn.SpatialConvolution            1 x 480 x 16 x 16      122880        47235072    1.1341	
   50 nn.ReLU                          1 x 192 x 16 x 16       49152           49152    0.0012	
   51 nn.Sequential                    1 x 480 x 16 x 16      122880               0    0.0000	
   52 nn.SpatialConvolution            1 x 480 x 16 x 16      122880        23617536    0.5670	
   53 nn.ReLU                           1 x 96 x 16 x 16       24576           24576    0.0006	
   54 nn.SpatialConvolution             1 x 96 x 16 x 16       24576        92065792    2.2104	
   55 nn.ReLU                          1 x 208 x 16 x 16       53248           53248    0.0013	
   56 nn.Sequential                    1 x 480 x 16 x 16      122880               0    0.0000	
   57 nn.SpatialConvolution            1 x 480 x 16 x 16      122880         3936256    0.0945	
   58 nn.ReLU                           1 x 16 x 16 x 16        4096            4096    0.0001	
   59 nn.SpatialConvolution             1 x 16 x 16 x 16        4096         9842688    0.2363	
   60 nn.ReLU                           1 x 48 x 16 x 16       12288           12288    0.0003	
   61 nn.Sequential                    1 x 480 x 16 x 16      122880               0    0.0000	
   62 nn.SpatialMaxPooling             1 x 480 x 16 x 16      122880         1105920    0.0266	
   63 nn.SpatialConvolution            1 x 480 x 16 x 16      122880        15745024    0.3780	
   64 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
   65 nn.Concat                        1 x 512 x 16 x 16      131072               0    0.0000	
   66 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   67 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        41984000    1.0080	
   68 nn.ReLU                          1 x 160 x 16 x 16       40960           40960    0.0010	
   69 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   70 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        29388800    0.7056	
   71 nn.ReLU                          1 x 112 x 16 x 16       28672           28672    0.0007	
   72 nn.SpatialConvolution            1 x 112 x 16 x 16       28672       115662848    2.7769	
   73 nn.ReLU                          1 x 224 x 16 x 16       57344           57344    0.0014	
   74 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   75 nn.SpatialConvolution            1 x 512 x 16 x 16      131072         6297600    0.1512	
   76 nn.ReLU                           1 x 24 x 16 x 16        6144            6144    0.0001	
   77 nn.SpatialConvolution             1 x 24 x 16 x 16        6144        19677184    0.4724	
   78 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
   79 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   80 nn.SpatialMaxPooling             1 x 512 x 16 x 16      131072         1179648    0.0283	
   81 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        16793600    0.4032	
   82 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
   83 nn.Concat                        1 x 512 x 16 x 16      131072               0    0.0000	
   84 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   85 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        33587200    0.8064	
   86 nn.ReLU                          1 x 128 x 16 x 16       32768           32768    0.0008	
   87 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   88 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        33587200    0.8064	
   89 nn.ReLU                          1 x 128 x 16 x 16       32768           32768    0.0008	
   90 nn.SpatialConvolution            1 x 128 x 16 x 16       32768       151060480    3.6268	
   91 nn.ReLU                          1 x 256 x 16 x 16       65536           65536    0.0016	
   92 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   93 nn.SpatialConvolution            1 x 512 x 16 x 16      131072         6297600    0.1512	
   94 nn.ReLU                           1 x 24 x 16 x 16        6144            6144    0.0001	
   95 nn.SpatialConvolution             1 x 24 x 16 x 16        6144        19677184    0.4724	
   96 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
   97 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   98 nn.SpatialMaxPooling             1 x 512 x 16 x 16      131072         1179648    0.0283	
   99 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        16793600    0.4032	
  100 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
  101 nn.Concat                        1 x 512 x 16 x 16      131072               0    0.0000	
  102 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
  103 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        29388800    0.7056	
  104 nn.ReLU                          1 x 112 x 16 x 16       28672           28672    0.0007	
  105 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
  106 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        37785600    0.9072	
  107 nn.ReLU                          1 x 144 x 16 x 16       36864           36864    0.0009	
